source_id,target_id
0,8
0,9
0,13
0,19
0,20
0,22
0,40
0,41
0,42
0,53
0,92
0,93
1,8
1,9
1,13
1,19
1,20
1,22
1,40
1,41
1,42
1,53
1,92
1,93
2,8
2,9
2,13
2,19
2,20
2,22
2,40
2,41
2,42
2,53
2,92
2,93
3,42
3,53
4,42
4,53
5,53
5,64
5,74
5,99
6,40
6,53
7,26
7,58
7,64
7,95
8,40
8,53
9,26
9,58
9,64
9,95
10,26
10,58
10,64
10,95
11,9
12,9
13,42
13,64
13,68
14,42
14,64
14,68
15,42
16,42
17,9
18,3
18,53
18,64
18,74
19,3
19,53
19,64
19,74
20,3
20,12
20,64
20,74
21,3
21,53
21,64
21,74
22,3
22,53
22,64
22,74
23,64
23,80
23,95
24,64
24,80
24,95
25,64
25,80
25,95
26,64
26,95
26,99
27,64
27,95
27,99
28,64
28,80
28,95
29,26
29,42
29,53
29,64
29,99
31,64
32,64
32,80
32,95
32,97
32,98
33,64
33,80
33,95
33,97
33,98
34,64
34,80
34,95
34,97
34,98
35,64
35,80
35,95
35,97
35,98
36,13
36,64
36,95
37,64
37,80
38,42
38,64
38,78
39,23
39,64
39,80
39,95
39,99
40,42
40,64
40,78
41,13
41,64
41,95
42,23
42,64
42,80
42,95
42,99
43,64
43,80
44,64
44,80
45,64
45,80
46,23
46,64
46,80
46,95
46,99
47,13
47,64
47,73
48,42
48,64
48,78
49,13
49,64
49,95
50,64
50,80
51,64
51,80
52,95
53,64
53,80
54,9
54,13
54,16
54,78
55,13
55,26
55,53
55,64
56,9
56,13
56,16
56,78
57,9
57,13
57,16
57,78
58,13
58,26
58,53
58,64
59,64
59,92
60,64
60,92
61,42
61,48
61,53
62,9
62,42
62,48
62,53
62,55
62,78
63,3
63,5
63,42
63,53
64,3
64,5
64,42
64,53
65,3
65,5
65,42
65,53
66,42
66,53
66,95
67,42
67,53
67,95
68,42
68,53
68,95
69,5
69,9
69,31
69,42
69,48
69,78
69,95
70,48
70,53
70,55
72,9
72,36
72,42
72,48
72,64
72,95
75,48
75,53
75,55
76,53
76,82
77,3
77,9
77,10
77,22
77,42
77,53
77,58
77,64
78,3
78,9
78,10
78,22
78,42
78,53
78,58
78,64
79,19
79,26
79,42
79,53
79,68
79,72
80,25
80,53
81,53
81,55
81,68
82,42
82,53
82,55
82,68
83,25
83,53
84,25
84,53
85,25
85,53
86,42
86,53
86,55
86,68
87,53
87,55
87,68
88,42
88,53
88,55
88,68
89,9
89,53
89,65
89,95
90,53
90,64
90,95
91,53
91,64
91,95
92,53
92,64
92,95
93,42
93,64
94,42
94,64
95,42
95,64
96,53
97,53
98,64
98,99
99,36
99,64
99,80
100,42
100,47
100,53
100,78
100,92
101,42
101,47
101,53
101,78
101,92
102,92
103,92
104,42
104,47
104,53
104,78
104,92
105,42
105,53
105,92
105,95
106,42
106,53
106,56
107,42
107,53
108,13
108,40
108,53
108,58
108,64
108,82
108,86
109,42
109,53
109,92
109,95
110,42
110,53
110,56
111,42
111,53
112,13
112,40
112,53
112,58
112,64
112,82
112,86
113,9
113,13
113,53
114,13
114,25
114,42
114,53
115,13
115,25
115,42
115,53
116,13
116,48
116,53
117,13
117,48
117,53
118,9
118,13
118,53
119,13
119,25
119,42
119,53
120,13
120,42
120,53
120,86
121,13
121,53
122,13
122,42
122,53
122,56
123,13
123,56
123,95
124,3
124,9
124,13
124,42
124,53
125,9
125,13
125,53
126,13
126,56
126,95
127,13
128,13
128,16
128,42
128,53
128,56
128,92
129,13
129,53
130,9
130,13
130,53
131,13
131,56
131,95
132,9
132,13
132,53
133,13
133,42
133,53
133,86
134,3
134,9
134,13
134,42
134,53
135,13
135,53
136,13
136,42
136,53
136,95
137,13
137,53
138,13
138,42
138,53
138,95
139,13
139,53
140,13
140,53
141,13
141,42
141,53
141,95
142,53
142,68
142,95
143,53
143,68
143,95
144,53
145,13
145,53
145,56
146,13
146,53
146,56
147,13
147,53
147,56
148,13
148,53
148,56
149,53
149,74
150,53
150,74
151,8
151,9
151,13
151,22
151,42
151,53
152,8
152,9
152,13
152,22
152,42
152,53
153,8
153,9
153,13
153,22
153,42
153,53
154,3
154,13
154,19
154,42
154,64
154,74
154,75
154,95
155,3
155,13
155,19
155,42
155,64
155,74
155,75
155,95
156,19
156,42
156,53
156,64
157,19
157,42
157,47
157,53
157,64
157,93
158,3
158,13
158,19
158,42
158,64
158,74
158,75
158,95
159,3
159,13
159,19
159,42
159,64
159,74
159,75
159,95
160,64
160,99
161,64
161,99
164,53
164,55
164,64
165,53
165,95
167,42
167,53
167,64
168,25
168,53
168,95
169,25
169,53
169,95
170,25
170,53
170,95
171,9
171,42
171,53
171,55
171,56
172,9
172,42
172,53
172,55
172,56
173,9
173,42
173,53
173,55
173,56
174,9
174,58
176,13
176,26
176,42
176,53
177,13
177,26
177,42
177,53
178,13
178,26
178,42
178,53
179,53
180,53
181,9
183,3
183,53
183,64
183,99
185,3
185,53
185,64
185,99
186,3
186,53
186,64
186,99
188,42
188,48
188,53
188,68
189,42
189,48
189,53
189,68
190,42
190,53
190,55
190,68
190,95
191,42
191,48
191,53
191,68
192,42
192,53
192,55
192,68
192,95
193,3
193,26
193,53
193,64
193,74
193,78
193,99
194,53
195,9
195,40
195,42
195,53
196,9
196,40
196,42
196,53
197,9
197,40
197,42
197,53
198,9
198,40
198,42
198,53
199,53
200,42
200,53
200,92
200,95
201,8
201,22
201,42
201,53
201,64
201,69
202,8
202,22
202,42
202,53
202,64
202,69
203,9
203,13
203,42
203,69
204,9
204,13
204,42
205,9
205,13
205,42
206,8
206,9
206,10
206,22
206,48
206,74
206,77
206,83
206,98
207,8
207,9
207,10
207,22
207,48
207,74
207,77
207,83
207,98
208,64
209,64
213,53
213,95
214,53
214,95
215,53
215,64
215,95
216,9
216,20
216,53
216,64
216,95
216,99
217,9
217,53
217,64
217,93
217,95
217,99
218,9
218,53
218,64
218,93
218,95
218,99
219,9
219,53
219,64
219,93
219,95
219,99
220,19
220,42
220,53
220,65
221,19
221,42
221,53
221,65
222,25
222,53
222,64
222,80
222,95
223,95
224,95
225,95
226,13
226,42
226,78
227,13
227,42
227,78
228,13
228,42
228,78
229,40
229,42
229,53
230,9
230,53
230,56
230,78
231,40
231,42
231,53
232,9
232,53
232,56
232,78
233,9
233,53
233,56
233,78
234,9
234,53
234,56
234,78
235,64
236,64
237,64
238,9
238,10
238,13
238,20
238,22
238,42
238,53
238,58
238,78
239,78
240,78
241,78
242,13
242,42
242,53
242,64
242,99
243,13
243,42
243,53
243,64
243,99
244,19
244,42
245,19
245,42
246,19
246,26
246,42
246,72
247,19
247,26
247,42
247,72
248,13
248,53
248,78
248,92
249,13
249,53
249,78
249,92
250,13
250,53
250,78
250,92
251,53
251,64
251,65
251,95
252,19
252,26
252,42
252,64
252,95
252,99
253,19
253,26
253,42
253,64
253,95
253,99
254,19
254,26
254,42
254,64
254,95
254,99
255,19
255,26
255,42
255,64
255,95
255,99
256,69
256,95
257,53
257,95
258,9
258,42
258,56
259,53
259,95
260,69
260,95
261,53
261,95
262,69
262,95
263,26
263,53
264,22
264,53
265,26
265,53
266,42
267,69
267,95
268,42
268,53
269,42
269,64
269,72
269,95
270,42
270,53
270,95
271,13
271,53
272,19
272,53
272,64
273,13
273,53
274,13
274,53
275,13
275,53
276,9
276,25
276,26
276,53
276,58
276,64
277,13
277,53
277,56
278,9
278,20
278,30
278,53
278,55
278,64
278,69
278,86
278,92
279,13
279,53
280,13
280,53
280,56
281,9
281,25
281,26
281,53
281,58
281,64
282,9
282,13
282,30
282,42
282,53
282,55
282,58
282,92
283,13
283,42
283,53
283,95
284,13
284,42
284,53
284,95
285,13
285,53
286,9
286,25
286,26
286,53
286,58
286,64
287,13
287,42
287,53
287,95
288,9
288,13
288,30
288,42
288,53
288,55
288,58
288,92
289,9
289,13
289,30
289,42
289,53
289,55
289,58
289,92
290,9
290,20
290,30
290,53
290,55
290,64
290,69
290,86
290,92
291,13
291,53
292,9
292,20
292,30
292,53
292,55
292,64
292,69
292,86
292,92
293,13
293,53
293,56
294,26
294,53
294,74
295,42
295,53
295,64
296,42
296,53
296,64
297,3
297,13
297,42
297,95
298,42
298,47
298,64
298,99
299,42
299,53
299,64
299,83
300,42
300,48
300,53
300,64
301,8
301,9
301,13
301,22
301,25
301,48
301,53
301,55
301,68
302,8
302,9
302,13
302,22
302,25
302,48
302,53
302,55
302,68
303,53
304,42
304,53
304,56
304,64
304,65
305,42
305,53
305,56
305,64
305,65
306,42
306,53
306,64
307,42
307,53
307,56
307,64
307,65
308,42
308,53
308,64
310,19
310,42
310,53
310,82
311,9
311,25
