source_id,target_id
0,8
0,9
0,13
0,19
0,20
0,66
0,84
0,87
0,89
0,90
0,91
0,93
1,9
1,20
1,22
1,42
1,53
1,68
1,69
2,5
2,32
2,53
2,64
2,74
2,98
2,99
3,5
3,24
3,32
3,53
3,64
3,74
3,78
3,93
3,98
3,99
4,9
4,26
4,40
4,46
4,53
4,55
4,58
4,64
4,71
4,78
4,95
5,9
5,40
5,46
5,53
5,55
5,71
5,78
6,9
6,40
6,46
6,53
6,55
6,69
6,71
6,78
7,9
7,22
7,42
7,64
7,68
7,78
8,3
8,5
8,12
8,32
8,33
8,53
8,64
8,74
8,78
9,3
9,5
9,12
9,32
9,33
9,53
9,64
9,74
9,78
10,24
10,32
10,64
10,78
10,80
10,94
10,95
10,96
10,97
10,98
10,99
11,64
11,78
11,94
11,95
11,96
11,98
11,99
12,5
12,32
12,64
12,83
12,95
12,98
12,99
13,26
13,42
13,53
13,62
13,64
13,71
13,78
13,96
13,98
13,99
14,9
14,42
14,63
14,70
14,71
14,78
15,45
15,62
15,64
15,78
15,98
16,64
16,66
16,80
16,84
16,90
16,91
16,93
16,95
16,97
16,98
17,12
17,13
17,23
17,24
17,32
17,42
17,64
17,73
17,78
17,80
17,95
17,96
17,97
17,98
17,99
18,13
18,39
18,42
18,49
18,64
18,67
18,73
18,78
18,95
18,97
18,99
19,64
19,80
19,95
20,9
20,13
20,16
20,22
20,26
20,53
20,64
20,71
20,78
21,9
21,13
21,16
21,22
21,26
21,53
21,64
21,71
21,78
22,9
22,13
22,26
22,49
22,53
22,64
22,71
22,78
22,86
23,5
23,32
23,33
23,55
23,64
23,78
23,92
24,9
24,20
24,42
24,48
24,53
24,55
24,69
24,78
25,3
25,5
25,32
25,33
25,42
25,53
25,78
26,9
26,42
26,53
26,68
26,69
26,78
26,95
27,5
27,9
27,25
27,31
27,32
27,36
27,42
27,48
27,53
27,55
27,62
27,64
27,78
27,79
27,82
27,98
28,9
28,36
28,42
28,48
28,64
29,3
29,8
29,9
29,10
29,15
29,16
29,22
29,30
29,32
29,42
29,71
29,78
30,9
30,19
30,26
30,42
30,46
30,53
30,68
30,69
30,71
30,78
31,9
31,20
31,25
31,42
31,53
31,55
31,68
31,69
31,83
32,8
32,9
32,20
32,22
32,30
32,53
32,65
32,95
33,12
33,32
33,45
33,53
33,64
33,78
33,95
34,9
34,42
34,53
34,64
34,68
34,69
34,71
34,78
35,53
36,24
36,36
36,45
36,64
36,67
36,78
36,80
36,96
36,97
36,98
36,99
37,36
37,64
37,80
37,99
38,35
38,42
38,47
38,53
38,67
38,69
38,71
38,78
38,92
39,9
39,67
39,69
39,71
39,78
39,92
40,9
40,67
40,68
40,69
40,70
40,71
40,78
40,92
41,9
41,13
41,14
41,16
41,30
41,32
41,40
41,42
41,53
41,55
41,56
41,58
41,59
41,63
41,64
41,78
41,82
41,92
41,95
42,42
42,53
42,92
42,95
43,9
43,42
43,53
43,69
43,78
43,83
43,92
43,95
44,34
44,42
44,53
44,56
44,76
44,88
45,9
45,13
45,15
45,16
45,25
45,42
45,48
45,53
45,69
45,71
45,78
46,3
46,9
46,13
46,16
46,32
46,42
46,53
46,56
46,71
46,78
46,86
46,95
47,5
47,9
47,13
47,16
47,32
47,42
47,53
47,71
47,78
47,86
47,95
48,1
48,32
48,53
48,68
48,78
48,83
48,95
48,98
49,9
49,32
49,46
49,53
49,68
49,71
49,78
49,95
49,98
50,53
50,78
50,83
50,98
51,9
51,13
51,16
51,20
51,22
51,53
51,55
51,56
51,78
52,5
52,9
52,32
52,53
52,74
52,83
52,98
53,0
53,5
53,18
53,32
53,33
53,53
53,71
53,74
53,78
54,9
54,18
54,20
54,22
54,46
54,53
54,71
54,74
54,78
55,8
55,9
55,13
55,22
55,42
55,76
56,3
56,13
56,19
56,32
56,42
56,47
56,53
56,64
56,76
56,87
56,88
56,93
57,3
57,13
57,19
57,21
57,22
57,42
57,47
57,48
57,53
57,64
57,76
57,82
58,49
58,64
58,78
58,92
58,95
58,99
59,24
59,25
59,42
59,53
59,55
59,64
59,78
59,95
59,96
59,98
60,53
60,55
60,64
61,9
61,53
61,55
61,64
61,68
61,69
61,78
61,83
61,98
62,24
62,25
62,53
62,78
62,95
62,98
63,25
63,32
63,48
63,53
63,93
63,95
64,9
64,42
64,53
64,55
64,56
65,9
65,58
66,9
66,13
66,26
66,42
66,53
66,63
66,71
66,78
66,86
67,53
68,9
68,66
68,84
68,89
68,90
68,91
68,93
69,3
69,25
69,32
69,45
69,53
69,64
69,78
69,83
69,96
69,98
69,99
70,8
70,9
70,16
70,20
70,22
70,42
70,48
70,53
70,55
70,68
70,69
70,95
71,3
71,26
71,32
71,39
71,53
71,64
71,70
71,71
71,74
71,78
72,8
72,9
72,22
72,40
72,42
72,46
72,53
72,71
72,78
72,83
72,92
72,95
73,8
73,9
73,22
73,42
73,53
73,55
73,64
73,68
73,69
73,71
73,78
74,8
74,9
74,13
74,16
74,20
74,22
74,42
74,69
75,9
75,13
75,16
75,20
75,30
75,42
75,55
75,71
75,78
76,8
76,9
76,10
76,22
76,32
76,48
76,77
76,83
76,93
76,94
76,98
77,5
77,32
77,64
77,74
77,78
78,32
78,48
78,50
78,61
79,9
79,32
79,53
79,78
79,83
79,95
79,98
80,32
80,37
80,53
80,64
80,73
80,78
80,79
80,81
80,92
80,94
80,95
80,97
80,98
81,9
81,20
81,53
81,64
81,93
81,95
82,9
82,19
82,42
82,46
82,53
82,65
82,71
82,78
82,83
83,24
83,25
83,53
83,64
83,73
83,78
83,80
83,95
83,97
83,98
84,8
84,9
84,22
84,71
84,78
84,95
85,9
85,22
85,42
85,71
85,78
85,83
85,95
86,9
86,13
86,16
86,22
86,32
86,42
86,53
86,71
86,78
86,86
87,9
87,20
87,22
87,40
87,41
87,42
87,53
87,56
87,71
87,78
87,83
88,9
88,32
88,40
88,42
88,53
88,78
88,83
88,98
89,64
89,77
89,78
89,93
90,32
90,64
90,78
90,93
91,9
91,10
91,13
91,16
91,20
91,22
91,53
91,55
91,69
91,71
91,78
92,67
92,69
92,71
92,78
92,95
92,97
92,98
93,13
93,39
93,42
93,49
93,53
93,64
93,78
93,99
94,18
94,19
94,26
94,32
94,42
94,70
94,71
94,72
94,78
94,98
95,13
95,16
95,53
95,71
95,78
95,86
95,92
96,9
96,16
96,18
96,20
96,22
96,53
96,64
96,65
96,71
96,78
96,95
97,8
97,9
97,22
97,53
97,64
97,65
97,78
97,95
98,19
98,26
98,35
98,39
98,42
98,49
98,62
98,64
98,71
98,78
98,92
98,95
98,98
99,9
99,16
99,22
99,26
99,42
99,53
99,56
99,63
99,67
99,68
99,69
99,78
99,95
100,8
100,9
100,13
100,16
100,22
100,30
100,32
100,69
100,71
100,76
100,78
100,82
100,95
101,9
101,22
101,42
101,53
101,63
101,69
101,71
101,78
101,95
102,9
102,35
102,42
102,53
102,67
102,68
102,69
102,71
102,78
102,95
103,9
103,42
103,56
103,67
103,68
103,69
103,78
104,9
104,22
104,53
104,55
104,67
104,68
104,69
104,78
104,83
105,9
105,22
105,42
105,53
105,67
105,69
105,71
105,78
105,83
106,42
106,53
106,71
106,78
107,42
107,60
107,61
107,64
107,72
107,95
108,42
108,64
108,70
108,71
108,72
108,78
108,95
109,9
109,13
109,16
109,20
109,42
109,53
109,71
109,78
109,95
110,8
110,9
110,19
110,22
110,46
110,53
110,64
110,71
110,78
111,9
111,13
111,14
111,16
111,53
111,71
111,78
111,86
112,9
112,13
112,16
112,20
112,25
112,26
112,30
112,42
112,53
112,55
112,56
112,58
112,69
112,78
112,95
113,9
113,15
113,16
113,20
113,25
113,26
113,53
113,55
113,58
113,68
113,78
114,9
114,13
114,30
114,42
114,53
114,71
114,78
114,86
115,9
115,13
115,16
115,30
115,42
115,53
115,55
115,78
115,95
116,9
116,13
116,16
116,30
116,42
116,53
116,71
116,78
116,86
117,26
117,42
117,53
117,74
117,83
117,98
118,9
118,20
118,22
118,42
118,53
118,64
118,78
118,83
119,3
119,8
119,9
119,13
119,22
119,42
119,47
119,64
119,78
119,95
119,99
120,9
120,42
120,44
120,48
120,50
120,53
120,55
120,64
120,78
120,83
121,8
121,9
121,13
121,22
121,25
122,53
123,8
123,9
123,20
123,42
123,46
123,53
123,56
123,64
123,65
123,71
123,78
124,9
124,13
124,19
124,20
124,25
124,26
124,40
124,42
124,53
124,64
124,68
124,69
124,71
124,78
124,82
124,95
125,13
125,71
125,78
126,9
126,22
126,42
126,93
127,9
127,13
127,16
127,53
127,68
127,71
127,78
127,86
128,49
128,64
128,67
128,69
128,78
128,94
128,95
128,98
128,99
129,9
129,13
129,16
129,20
129,42
