source_id,target_id
159,233
317,24
317,25
317,26
317,27
317,28
317,29
317,30
317,31
317,32
317,33
317,34
317,35
317,36
317,37
317,38
317,39
317,40
317,41
317,42
317,43
317,44
317,45
317,46
317,47
317,48
317,49
317,50
317,51
317,52
317,53
317,54
317,55
317,56
317,57
317,58
317,59
317,60
317,61
317,62
317,63
317,64
317,65
317,66
317,67
317,68
317,69
317,70
317,71
317,72
317,73
317,74
317,75
317,76
317,77
317,78
317,79
317,80
317,81
317,82
317,83
317,84
317,85
317,86
317,87
317,88
317,89
317,90
317,91
317,92
317,93
317,94
317,95
317,96
455,31
455,35
455,38
455,43
455,53
455,55
455,85
455,127
455,366
455,367
455,368
455,369
455,370
455,371
455,372
455,373
455,374
455,375
455,376
455,377
455,378
455,379
455,380
455,381
455,382
455,383
455,384
455,385
455,386
455,387
455,388
455,389
455,390
455,391
455,392
455,393
455,394
455,395
455,396
455,397
455,398
455,399
455,400
455,401
455,402
455,403
455,404
455,405
455,406
455,407
487,130
487,219
487,220
500,15
500,33
500,37
500,89
500,134
500,143
500,197
500,318
500,366
500,461
500,492
500,495
500,675
500,774
500,775
500,776
500,777
500,778
500,779
500,780
500,781
500,782
500,783
500,784
500,785
500,786
500,787
500,788
500,789
500,790
589,29
589,43
589,54
589,85
589,87
589,89
589,93
589,96
589,98
589,237
589,309
589,345
589,404
589,406
589,421
589,422
589,428
589,525
589,534
589,666
589,667
589,668
589,669
589,670
589,671
589,672
589,673
589,674
589,675
589,676
589,677
589,678
589,679
589,680
589,681
589,682
589,683
589,684
589,685
589,686
589,687
589,688
589,689
589,690
589,691
589,692
589,693
589,694
589,695
589,696
589,697
589,698
589,699
589,700
589,701
589,702
589,703
589,704
589,705
589,706
589,707
589,708
589,709
589,710
589,711
589,712
589,713
589,714
589,715
589,716
589,717
589,718
589,719
589,720
589,721
589,722
589,723
589,724
637,0
637,1
637,2
637,3
638,4
638,5
639,6
639,7
639,8
640,9
641,9
641,10
641,11
642,12
642,13
643,14
644,15
644,16
644,17
644,18
645,19
645,20
645,21
645,22
645,23
646,18
648,97
648,98
649,99
649,100
649,101
650,102
650,103
652,104
652,105
653,12
653,13
654,106
655,12
655,13
656,107
656,108
657,19
657,20
657,109
657,110
657,111
657,112
657,113
657,114
657,115
657,116
657,117
657,118
658,12
658,13
658,119
659,19
660,20
660,120
660,121
660,122
660,123
660,124
661,91
661,125
661,126
662,127
662,128
663,129
663,130
664,118
664,131
664,132
664,133
664,134
664,135
664,136
664,137
664,138
665,139
665,140
666,15
666,141
666,142
666,143
666,144
666,145
666,146
666,147
666,148
666,149
666,150
666,151
666,152
667,153
667,154
668,153
668,154
668,155
668,156
668,157
670,158
670,159
670,160
671,20
672,19
672,114
673,120
673,161
673,162
675,104
675,163
675,164
675,165
675,166
676,167
676,168
677,169
678,110
678,170
678,171
678,172
679,96
679,173
679,174
679,175
679,176
679,177
679,178
679,179
679,180
679,181
680,182
680,183
681,184
681,185
682,186
682,187
682,188
683,189
683,190
683,191
683,192
683,193
683,194
683,195
683,196
684,134
684,197
684,198
685,199
687,59
687,200
687,201
687,202
687,203
688,204
689,205
690,205
691,205
692,18
693,206
693,207
694,208
695,209
695,210
696,104
696,184
696,211
696,212
696,213
696,214
696,215
696,216
697,59
697,201
697,217
698,218
699,221
699,222
699,223
699,224
700,111
700,225
700,226
701,227
702,226
702,228
702,229
702,230
703,231
703,232
704,234
704,235
705,236
705,237
705,238
705,239
705,240
705,241
705,242
705,243
705,244
705,245
705,246
705,247
705,248
705,249
705,250
705,251
706,20
706,96
706,252
707,211
707,253
708,23
708,155
708,254
708,255
709,20
709,23
709,120
709,169
709,256
709,257
709,258
709,259
709,260
709,261
709,262
709,263
709,264
709,265
709,266
709,267
709,268
710,19
711,129
711,130
712,224
712,269
713,270
714,191
714,271
714,272
714,273
715,274
715,275
716,224
716,276
716,277
717,278
717,279
718,280
718,281
718,282
719,283
719,284
720,285
720,286
720,287
720,288
721,289
722,91
723,290
723,291
724,20
724,120
724,122
724,292
724,293
724,294
724,295
724,296
724,297
724,298
724,299
725,12
725,13
726,300
727,124
728,301
728,302
728,303
728,304
728,305
728,306
728,307
728,308
728,309
729,12
729,13
729,310
730,275
731,19
732,311
733,12
733,13
734,275
734,312
734,313
734,314
735,315
735,316
735,317
735,318
736,191
736,319
736,320
736,321
737,322
737,323
738,324
739,325
740,103
740,326
741,327
741,328
741,329
741,330
741,331
741,332
741,333
741,334
741,335
741,336
741,337
742,338
742,339
742,340
742,341
742,342
742,343
742,344
743,20
744,345
744,346
745,347
746,348
748,246
748,251
749,349
750,0
750,350
751,351
752,199
752,352
754,19
754,20
754,22
754,353
755,348
756,325
756,354
758,355
759,134
759,184
759,356
759,357
760,358
760,359
761,191
762,360
763,12
763,13
763,211
763,361
763,362
763,363
763,364
763,365
764,13
764,408
764,409
764,410
764,411
764,412
764,413
766,414
766,415
767,370
767,416
767,417
768,19
768,20
768,418
769,419
770,27
770,85
770,372
770,375
770,420
770,421
770,422
770,423
770,424
770,425
770,426
770,427
770,428
770,429
770,430
770,431
770,432
770,433
770,434
770,435
770,436
770,437
770,438
771,439
772,440
772,441
772,442
772,443
773,444
774,445
774,446
775,447
776,448
776,449
776,450
776,451
776,452
776,453
777,191
777,291
777,454
777,455
777,456
777,457
777,458
777,459
777,460
777,461
777,462
778,457
778,462
778,463
778,464
778,465
778,466
778,467
778,468
779,173
779,403
779,469
779,470
779,471
779,472
779,473
780,188
780,361
780,365
780,474
781,153
781,157
781,475
782,153
782,468
782,476
782,477
782,478
782,479
782,480
782,481
782,482
782,483
782,484
783,124
783,485
784,110
784,172
784,226
784,486
784,487
785,95
786,488
786,489
787,141
787,143
787,146
787,149
787,490
787,491
787,492
787,493
787,494
788,495
788,496
789,205
790,497
790,498
791,499
792,427
792,500
792,501
792,502
792,503
792,504
793,505
793,506
793,507
793,508
794,509
794,510
794,511
794,512
796,226
796,229
796,469
796,473
796,513
796,514
796,515
796,516
796,517
796,518
796,519
796,520
796,521
798,104
799,120
799,287
799,522
800,191
800,458
800,523
801,27
801,114
801,146
801,226
801,374
801,518
801,524
801,525
801,526
801,527
801,528
801,529
801,530
801,531
801,532
801,533
801,534
801,535
801,536
801,537
801,538
802,280
802,539
802,540
802,541
802,542
803,543
803,544
804,141
804,545
804,546
804,547
804,548
804,549
804,550
804,551
805,205
805,552
806,553
807,554
807,555
807,556
807,557
808,558
808,559
809,560
810,561
810,562
810,563
811,564
813,325
813,565
814,566
814,567
814,568
814,569
814,570
815,571
815,572
816,553
816,573
816,574
816,575
817,271
817,273
817,576
817,577
817,578
818,96
818,174
818,177
819,205
819,579
820,580
820,581
821,12
821,13
821,582
822,20
822,122
822,583
822,584
823,566
823,567
823,568
823,569
823,570
824,130
825,585
826,470
826,586
827,587
827,588
827,589
828,118
828,132
829,15
829,144
829,590
829,591
829,592
829,593
831,594
831,595
831,596
832,339
832,597
833,43
833,598
833,599
833,600
833,601
833,602
833,603
834,604
835,605
835,606
835,607
835,608
835,609
836,98
836,610
837,225
838,611
838,612
838,613
838,614
839,268
839,615
839,616
839,617
840,553
841,618
842,482
843,619
843,620
843,621
844,622
844,623
845,624
846,625
847,482
848,626
848,627
848,628
849,629
850,630
850,631
850,632
850,633
850,634
852,20
852,635
853,181
853,447
853,636
853,637
853,638
854,207
854,229
854,488
854,639
854,640
854,641
855,642
855,643
856,112
856,644
856,645
857,352
858,507
858,508
858,646
858,647
859,648
859,649
859,650
859,651
859,652
860,461
861,205
861,653
863,654
863,655
864,656
865,12
865,13
865,657
866,19
866,20
866,114
866,658
867,18
868,19
868,565
869,105
869,127
869,659
870,598
870,600
870,660
871,661
872,20
872,121
873,12
873,13
873,662
873,663
873,664
874,625
874,665
876,725
876,726
876,727
877,728
878,369
878,729
879,134
879,730
879,731
880,732
880,733
880,734
880,735
881,20
881,120
881,736
881,737
882,127
882,738
882,739
884,740
885,741
886,742
887,112
887,743
887,744
888,20
888,172
888,191
888,273
888,356
888,650
888,745
888,746
888,747
888,748
888,749
888,750
888,751
888,752
889,206
890,753
892,754
893,667
894,755
895,229
895,640
896,1
896,3
896,505
896,506
896,756
897,20
897,120
898,755
898,757
899,13
900,191
900,329
900,758
902,759
902,760
903,20
903,120
904,662
904,663
904,761
904,762
904,763
904,764
906,87
906,765
906,766
906,767
906,768
906,769
906,770
907,771
907,772
907,773
909,791
909,792
