source_id,target_id
0,3
1,1
1,2
2,0
2,4
3,4
3,2
4,4
5,1
5,0
6,1
7,4
8,0
8,4
9,2
10,3
11,1
12,4
13,4
13,2
14,2
14,1
15,2
16,1
17,0
18,1
18,4
19,2
20,3
21,3
21,2
22,3
23,3
23,4
24,3
25,0
25,2
26,4
26,2
27,1
27,4
28,2
28,3
29,1
30,3
31,0
32,3
33,1
34,1
35,4
35,2
36,3
36,4
37,2
37,4
38,3
39,3
39,4
40,2
40,0
41,1
42,0
42,2
43,2
44,4
45,3
45,1
46,0
46,2
47,3
47,1
48,3
48,4
49,0
49,3
50,3
51,3
51,4
52,4
53,1
53,3
54,4
55,0
56,3
57,0
57,4
58,4
59,2
60,2
60,4
61,4
61,1
62,2
63,3
64,0
65,4
66,0
66,1
67,0
67,3
68,3
69,2
69,4
70,4
70,3
71,0
71,2
72,3
73,3
74,3
74,2
75,0
76,4
76,2
77,2
78,1
79,4
79,3
80,0
81,2
81,3
82,1
83,1
83,0
84,0
84,3
85,4
86,1
86,4
87,3
88,1
89,2
89,1
90,0
91,4
91,0
92,0
92,2
93,0
93,1
94,3
95,0
95,1
96,0
97,3
98,2
98,3
99,0
100,0
101,1
101,4
102,1
102,0
103,2
104,2
104,1
105,0
106,2
107,4
108,3
108,1
109,2
109,1
110,0
110,1
111,0
111,4
112,2
113,0
114,2
115,1
115,0
116,4
116,2
117,2
117,1
118,1
118,4
119,0
119,2
120,4
120,1
121,2
121,1
122,2
122,4
123,1
124,4
124,3
125,1
126,2
126,1
127,4
128,0
129,0
130,4
130,1
131,2
132,4
132,0
133,3
133,2
134,3
134,0
135,1
135,2
136,3
136,1
137,4
138,4
138,3
139,0
140,1
140,4
141,2
142,4
143,2
143,0
144,4
144,0
145,3
145,1
146,3
146,0
147,1
148,1
149,3
150,4
151,4
151,1
152,3
153,3
153,2
154,4
155,2
156,0
157,0
158,0
158,3
159,1
160,0
161,0
161,1
162,0
163,0
164,2
165,2
165,1
166,0
166,2
167,1
168,0
169,4
169,1
170,1
170,3
171,0
171,4
172,4
172,0
173,1
174,3
174,4
175,0
176,2
176,3
177,3
178,2
179,2
180,1
180,2
181,4
181,2
182,0
183,0
183,4
184,0
184,2
185,4
185,2
186,0
186,3
187,2
188,4
188,3
189,0
190,0
190,3
191,1
191,4
192,3
193,2
193,4
194,0
194,1
195,2
196,3
197,1
197,4
198,4
198,0
199,4
199,1
