source_id,target_id
0,0
0,1
0,2
1,3
1,4
2,5
0,6
3,7
0,8
3,9
3,10
4,11
4,12
5,13
5,14
4,15
4,16
4,17
6,18
6,19
6,20
6,21
6,22
7,23
7,24
7,25
7,26
7,27
7,28
8,29
9,30
10,31
11,32
11,33
11,34
11,35
12,36
13,37
14,38
7,39
14,40
12,41
7,42
13,43
13,44
13,45
7,46
12,47
14,48
12,49
13,50
5,51
5,52
5,53
12,54
15,55
12,56
12,57
15,58
11,59
11,60
16,61
17,62
18,63
18,64
18,65
0,66
0,67
0,68
8,69
8,70
8,71
8,72
8,73
8,74
8,75
8,76
19,77
19,78
18,79
1,80
19,81
19,82
1,83
1,84
1,85
19,86
19,87
19,88
18,89
8,90
8,91
8,92
18,93
18,94
18,95
17,96
17,97
13,98
13,99
20,100
20,101
20,102
20,103
20,104
20,105
1,106
1,107
11,108
20,109
16,110
1,111
11,112
12,113
12,114
12,115
12,116
12,117
12,118
12,119
12,120
12,121
12,122
12,123
12,124
12,125
12,126
12,127
12,128
12,129
12,130
12,131
12,132
12,133
12,134
12,135
12,136
12,137
12,138
12,139
12,140
12,141
16,142
16,143
9,144
19,145
19,146
19,147
19,148
13,149
19,150
19,151
19,152
19,153
16,154
16,155
16,156
16,157
16,158
16,159
5,160
5,161
11,162
11,163
11,164
11,165
11,166
11,167
21,168
21,169
21,170
19,171
19,172
19,173
22,174
22,175
12,176
12,177
12,178
19,179
19,180
1,181
13,182
13,183
13,184
13,185
13,186
13,187
1,188
1,189
19,190
1,191
19,192
18,193
20,194
19,195
19,196
19,197
19,198
20,199
19,200
1,201
1,202
12,203
12,204
12,205
20,206
20,207
7,208
7,209
2,210
2,211
2,212
9,213
9,214
17,215
1,216
1,217
1,218
1,219
18,220
18,221
13,222
20,223
20,224
20,225
12,226
12,227
12,228
4,229
4,230
4,231
4,232
4,233
4,234
9,235
9,236
9,237
22,238
11,239
11,240
11,241
23,242
23,243
18,244
18,245
18,246
18,247
12,248
12,249
12,250
5,251
18,252
18,253
18,254
18,255
1,256
0,257
1,258
8,259
1,260
0,261
1,262
8,263
20,264
8,265
8,266
1,267
17,268
0,269
17,270
5,271
21,272
12,273
12,274
12,275
12,276
12,277
12,278
12,279
12,280
12,281
12,282
12,283
12,284
12,285
12,286
12,287
12,288
12,289
12,290
12,291
12,292
12,293
20,294
18,295
18,296
12,297
1,298
20,299
13,300
12,301
12,302
1,303
18,304
18,305
18,306
18,307
18,308
1,309
1,310
1,311
1,312
1,313
1,314
1,315
1,316
18,317
1,318
1,319
1,320
1,321
1,322
1,323
1,324
1,325
1,326
1,327
1,328
1,329
1,330
1,331
1,332
1,333
1,334
1,335
18,336
1,337
18,338
1,339
1,340
1,341
1,342
1,343
12,344
12,345
19,346
12,347
12,348
12,349
1,350
1,351
1,352
1,353
12,354
12,355
0,356
12,357
12,358
12,359
12,360
12,361
12,362
12,363
12,364
12,365
12,366
12,367
12,368
12,369
12,370
12,371
14,372
14,373
14,374
12,375
12,376
12,377
24,378
24,379
5,380
20,381
20,382
5,383
5,384
5,385
3,386
5,387
8,388
5,389
5,390
8,391
13,392
13,393
8,394
1,395
20,396
20,397
19,398
1,399
1,400
18,401
18,402
1,403
18,404
19,405
19,406
19,407
23,408
23,409
23,410
18,411
0,412
0,413
0,414
18,415
18,416
0,417
18,418
20,419
20,420
16,421
1,422
9,423
9,424
11,425
18,426
0,427
0,428
0,429
13,430
13,431
8,432
11,433
11,434
13,435
11,436
13,437
13,438
8,439
12,440
12,441
12,442
12,443
9,444
9,445
9,446
18,447
1,448
1,449
1,450
11,451
0,452
0,453
0,454
0,455
18,456
13,457
13,458
13,459
1,460
1,461
19,462
19,463
19,464
1,465
1,466
19,467
19,468
19,469
19,470
19,471
19,472
19,473
19,474
19,475
7,476
13,477
13,478
7,479
18,480
8,481
8,482
8,483
16,484
12,485
12,486
12,487
25,488
14,489
14,490
14,491
11,492
14,493
14,494
14,495
14,496
14,497
11,498
14,499
18,500
18,501
8,502
8,503
8,504
8,505
8,506
8,507
8,508
0,509
18,510
0,511
18,512
18,513
18,514
18,515
18,516
19,517
19,518
19,519
7,520
18,521
18,522
18,523
18,524
19,525
19,526
19,527
23,528
19,529
19,530
8,531
12,532
12,533
12,534
12,535
12,536
12,537
12,538
12,539
12,540
12,541
12,542
12,543
12,544
12,545
12,546
12,547
