source_id,target_id
0,1
0,9
1,1
1,8
1,9
1,10
2,0
2,4
3,1
3,8
3,10
3,36
4,1
4,8
4,10
4,36
5,1
5,5
5,7
5,47
6,9
7,1
7,8
7,10
7,36
8,2
8,32
8,58
9,1
9,8
9,10
9,36
10,0
10,9
11,1
11,9
12,1
12,2
12,58
13,0
13,9
14,9
15,9
16,1
16,2
16,8
16,10
16,32
16,58
17,1
17,2
17,5
17,47
18,0
19,1
19,5
19,7
19,8
19,10
19,47
20,0
20,9
21,1
21,2
21,32
21,58
22,1
22,5
22,8
22,10
22,47
23,1
23,2
23,32
23,58
24,1
24,5
24,8
24,10
24,36
24,47
25,9
26,2
26,32
26,58
27,1
27,9
28,2
28,9
28,32
28,58
29,9
30,1
30,2
30,11
30,36
31,2
31,32
31,58
32,1
32,2
32,32
32,36
32,58
33,9
34,1
34,2
34,5
34,8
34,10
34,47
35,1
35,5
35,14
36,1
36,2
36,32
36,36
36,58
37,1
37,8
37,10
38,9
39,1
39,8
39,9
39,10
40,9
41,9
42,1
42,2
42,36
42,58
43,1
43,8
43,10
44,2
44,11
45,1
45,8
45,10
46,1
46,7
46,8
46,10
47,1
47,8
47,10
48,1
48,2
48,8
48,10
48,36
49,1
49,5
49,47
50,9
51,0
51,9
52,2
53,1
53,5
53,8
53,10
53,36
53,47
54,0
57,1
57,2
57,8
57,10
58,9
59,9
60,1
60,8
60,10
60,39
61,0
61,9
62,1
62,8
62,10
63,1
63,2
63,8
63,9
63,10
64,1
64,8
64,9
64,10
65,1
65,8
65,10
66,1
66,8
66,10
67,9
68,1
68,2
68,32
68,58
69,2
69,11
69,32
70,9
71,1
71,2
71,8
71,10
71,32
71,58
72,9
73,1
73,8
73,10
73,14
74,2
74,11
74,32
74,36
74,58
75,1
75,2
75,9
76,1
76,2
76,32
76,36
76,58
77,2
77,9
78,1
78,5
78,8
78,10
78,47
79,2
79,9
79,32
79,58
80,1
80,8
80,10
81,1
81,5
81,8
81,10
81,47
82,1
82,9
83,2
83,11
83,32
83,50
84,1
84,2
84,32
84,58
85,1
85,5
85,8
85,10
85,47
86,1
86,8
86,9
86,10
87,1
87,8
87,9
87,10
88,1
88,2
88,7
89,1
89,2
89,8
89,10
89,58
90,1
90,2
90,8
90,10
91,1
91,5
91,7
91,8
91,10
91,47
92,2
92,11
92,32
92,36
92,58
93,1
93,7
93,8
93,10
94,9
95,1
95,5
95,47
96,1
96,5
96,8
96,10
96,47
97,1
97,8
97,10
98,2
98,32
98,36
98,58
99,1
99,5
99,7
99,8
99,10
99,47
100,1
100,5
100,7
100,8
100,10
100,47
101,1
101,5
101,47
102,1
102,2
102,32
102,58
103,1
103,8
103,10
104,0
105,2
105,9
105,47
106,0
107,1
107,8
107,10
108,1
108,2
108,36
108,58
109,9
110,1
110,5
110,8
110,10
110,47
111,2
111,9
111,32
111,58
112,1
112,8
112,10
113,9
114,2
114,9
114,32
114,58
115,1
115,5
115,7
115,8
115,10
115,47
116,9
116,15
117,9
117,15
118,1
118,9
119,9
120,2
120,9
120,32
120,58
121,1
121,5
121,9
121,47
122,2
122,9
122,32
122,58
123,1
123,2
123,8
123,10
125,1
125,8
125,10
126,1
126,8
126,9
126,10
127,1
127,5
127,7
127,8
127,10
127,47
128,9
129,0
129,9
130,1
130,5
130,7
130,8
130,10
130,47
131,1
131,5
131,47
132,0
132,4
132,13
132,17
132,20
132,21
132,22
132,26
132,27
132,28
133,1
133,5
133,8
133,10
133,47
134,0
134,9
135,1
135,2
135,32
135,58
136,1
136,8
136,10
137,0
137,9
137,13
137,17
137,21
137,22
138,1
138,7
138,8
138,10
139,1
139,2
139,11
139,32
139,58
140,9
141,1
141,2
141,8
141,10
141,36
142,1
142,8
142,10
143,1
143,2
143,8
143,10
143,32
143,58
144,1
144,2
144,8
144,10
144,32
144,58
145,0
145,9
146,1
146,2
146,7
146,8
146,10
146,58
147,0
147,4
147,13
147,17
147,20
147,21
147,22
147,26
147,27
147,28
148,1
148,2
148,8
148,9
148,10
149,1
149,2
149,32
149,36
149,58
150,9
151,2
151,32
151,58
152,9
153,1
153,5
153,8
153,10
153,36
153,47
154,1
154,8
154,9
154,10
155,2
155,9
155,32
155,58
156,1
156,2
156,32
156,58
157,1
157,8
157,10
158,1
158,2
158,32
158,36
158,58
159,1
159,5
159,8
159,10
159,47
160,1
160,8
160,10
160,14
161,1
161,2
161,8
161,10
162,1
162,7
162,8
162,10
163,1
163,2
163,7
163,32
163,58
164,1
164,8
164,9
164,10
165,1
165,8
165,9
165,10
166,1
166,2
166,7
166,8
166,10
167,1
167,2
167,5
167,7
167,8
167,10
167,47
168,1
168,2
168,7
168,8
168,10
169,1
169,8
169,10
170,1
170,5
170,8
170,10
170,47
171,1
171,7
171,8
171,10
172,1
172,7
172,8
172,10
173,0
173,4
173,13
173,17
173,20
173,21
173,22
173,26
173,27
173,28
174,1
174,9
174,14
175,1
175,9
175,47
176,1
176,5
176,8
176,10
176,47
177,1
177,5
177,47
178,1
178,2
178,8
178,10
178,32
178,58
179,0
179,9
180,2
180,11
180,58
181,1
181,5
181,8
181,10
181,47
182,1
182,9
183,1
183,2
183,7
184,2
184,11
184,32
184,50
184,58
185,1
185,8
185,10
186,1
186,8
186,10
186,36
187,1
187,2
187,9
187,32
187,58
188,1
188,5
188,47
189,9
190,1
190,5
190,8
190,10
190,47
191,1
191,5
191,8
191,10
191,47
192,1
192,2
192,32
192,58
193,1
193,8
193,10
194,9
195,2
195,9
195,32
195,58
196,2
196,9
196,47
197,2
197,11
197,32
197,58
198,1
198,8
198,9
198,10
199,9
200,0
200,9
201,1
201,5
201,47
202,1
202,2
202,58
203,1
203,2
203,9
203,32
203,58
204,1
204,5
204,8
204,10
204,47
205,0
206,1
206,2
206,8
206,10
206,36
207,1
207,5
207,47
208,9
209,1
209,5
209,8
209,9
209,10
209,47
210,1
210,8
210,10
210,13
211,2
211,32
211,58
212,1
212,5
212,7
212,47
213,2
213,32
213,36
213,58
214,1
214,2
214,8
214,10
215,2
215,32
215,58
216,1
216,5
216,7
216,8
216,10
216,47
217,1
217,7
217,8
217,10
218,9
219,1
219,2
219,8
219,10
220,1
220,5
220,7
220,8
220,10
220,47
221,1
221,8
221,10
222,1
222,2
222,8
222,10
223,1
223,5
223,8
223,10
223,47
224,1
224,5
224,8
224,10
224,47
225,1
225,5
225,47
226,0
226,4
226,13
226,17
226,20
226,21
226,22
226,26
226,27
226,28
227,9
228,0
228,9
229,2
229,32
229,36
229,58
230,0
231,1
231,5
231,47
232,1
232,2
232,32
232,58
233,1
233,5
233,8
233,10
233,36
233,47
234,2
234,32
234,58
235,1
235,2
235,8
235,10
235,58
236,0
236,9
238,1
238,5
238,47
239,1
239,8
239,10
239,36
240,0
240,4
240,13
240,17
240,20
240,21
240,22
240,26
240,27
240,28
241,1
241,2
241,5
241,8
241,10
241,47
242,0
242,1
242,2
242,9
243,0
243,9
244,1
244,2
244,32
244,58
245,0
245,4
245,13
245,17
245,20
245,21
245,22
245,26
245,27
245,28
246,1
246,5
246,7
246,47
247,1
247,8
247,10
248,1
248,8
248,10
249,1
249,7
249,8
249,10
250,0
250,2
250,9
251,1
251,2
251,8
251,10
252,2
252,32
252,58
253,1
253,2
253,32
253,58
254,1
254,7
254,8
254,10
254,43
255,1
255,5
255,7
255,47
256,1
256,9
257,1
257,7
257,8
257,10
258,1
258,7
258,8
258,10
259,2
259,11
260,1
260,8
260,10
261,1
261,2
261,8
261,10
261,36
261,58
262,1
262,2
262,32
262,58
263,1
263,5
263,8
263,9
263,10
263,47
264,1
264,2
264,8
264,10
264,36
265,1
265,2
265,8
265,10
265,36
266,1
266,5
266,7
266,8
266,10
266,47
267,1
267,9
268,0
268,9
269,1
269,8
269,10
270,1
270,8
270,10
271,1
271,2
271,8
271,10
272,1
272,2
272,32
272,58
273,1
273,2
273,7
273,8
273,10
274,9
275,0
275,4
275,13
275,17
275,20
275,21
275,22
275,26
275,27
275,28
276,1
276,8
276,10
277,0
277,4
277,13
277,17
277,20
277,21
277,22
277,26
277,27
277,28
278,1
278,8
278,10
279,1
279,8
279,10
279,36
280,2
280,11
280,32
280,58
281,9
282,1
282,8
282,9
282,10
283,1
283,9
284,1
284,5
284,8
284,10
284,47
285,1
285,2
285,8
285,10
285,36
286,1
286,8
286,9
286,10
287,1
287,5
287,8
287,10
287,47
288,1
288,8
288,10
289,1
289,8
289,10
290,1
290,2
290,11
290,36
291,9
292,9
293,9
294,2
294,9
294,47
295,1
295,5
295,7
295,8
295,10
295,47
296,9
297,1
297,8
297,10
298,1
298,5
298,7
298,47
299,0
299,13
299,17
299,21
299,22
300,2
300,32
300,58
301,1
301,7
301,8
301,10
302,9
303,1
303,5
303,8
303,10
303,47
304,2
304,9
304,32
304,58
305,2
305,9
305,32
306,1
306,5
306,47
307,9
308,9
309,0
310,0
310,4
310,13
310,17
310,20
310,21
310,22
310,26
310,27
310,28
311,1
311,5
311,8
311,10
311,47
312,9
313,2
313,9
314,1
314,9
315,1
315,8
315,10
315,36
316,1
316,8
316,10
317,1
317,8
317,10
318,2
318,32
318,36
318,58
319,1
319,5
319,8
319,10
319,47
320,1
320,9
321,2
321,32
321,36
321,58
322,2
322,9
322,32
322,58
323,1
323,2
323,32
323,58
324,1
324,5
324,8
324,10
324,47
325,1
325,2
325,36
326,1
326,8
326,10
327,1
327,8
327,10
328,1
328,7
328,8
328,10
328,43
329,1
329,9
330,2
330,32
330,58
331,0
331,4
331,13
331,17
331,20
331,21
331,22
331,26
331,27
331,28
332,1
332,2
332,5
332,8
332,10
332,47
333,0
333,9
334,1
334,8
334,10
334,14
335,0
335,4
335,13
335,17
335,20
335,21
335,22
335,26
335,27
335,28
336,1
336,5
336,8
336,10
336,47
337,1
337,9
338,9
339,1
339,7
339,8
339,10
340,2
340,11
340,32
340,50
340,58
341,1
341,5
341,8
341,10
341,47
342,1
342,5
342,8
342,10
342,47
343,1
343,2
343,5
343,47
344,1
344,8
344,10
345,1
345,2
345,8
345,10
345,58
346,1
346,8
346,10
347,0
347,9
348,1
348,14
349,1
349,2
349,9
350,1
350,2
350,11
350,58
351,1
351,2
351,32
351,58
352,1
352,5
352,8
352,10
352,36
352,47
353,1
353,7
353,8
353,10
354,0
354,9
355,1
355,5
355,8
355,10
355,47
356,1
356,5
356,8
356,10
356,47
357,9
358,1
358,7
359,1
359,5
359,47
360,0
360,4
360,13
360,17
360,20
360,21
360,22
360,26
360,27
360,28
361,2
361,32
361,36
361,58
362,0
362,9
363,1
363,8
363,10
365,2
365,32
365,58
366,1
366,5
366,7
366,8
366,10
366,47
367,1
367,5
367,47
368,1
368,2
368,11
368,32
368,58
369,1
369,7
369,8
369,10
370,1
370,2
370,8
370,10
370,32
370,58
371,1
371,5
371,7
371,47
372,1
372,5
372,7
372,8
372,10
372,47
373,1
373,2
373,32
373,58
374,1
374,5
374,47
375,1
375,2
375,36
375,58
376,1
376,7
376,8
376,10
377,1
377,5
377,8
377,10
377,47
378,9
379,0
379,9
380,1
380,5
380,7
380,47
381,2
381,32
381,58
382,0
382,4
382,13
382,17
382,20
382,21
382,22
382,26
